Dec,n_geom,C_avg,Cpred_avg,Lambda_avg
4,4,3.843624,2.870137,2.920559e-01
5,5,2.590290,4.266093,-4.989285e-01
6,6,3.210402,5.413807,-5.225564e-01
8,8,2.162039,2.814638,-2.637820e-01
9,9,4.827796,5.820367,-1.869733e-01
10,10,2.120759,3.855372,-5.976934e-01
12,12,4.116507,5.565937,-3.016603e-01
13,13,2.192988,3.090238,-3.429828e-01
14,14,1.989892,3.390541,-5.329090e-01
15,21,2.633998,4.119330,-4.471875e-01
30,36,2.876782,4.149992,-3.664342e-01
45,52,3.324713,4.056518,-1.989416e-01
60,67,3.469063,4.098988,-1.668558e-01
75,82,3.512849,4.101748,-1.549859e-01
90,97,3.245242,4.069621,-2.263598e-01
105,112,3.577188,4.150129,-1.485625e-01
120,127,3.760342,4.081018,-8.183669e-02
135,142,3.435240,4.062656,-1.677503e-01
150,157,3.400776,4.039830,-1.721991e-01
165,172,3.595329,4.115602,-1.351497e-01
180,187,3.875746,4.054485,-4.508544e-02
195,202,3.549984,4.106007,-1.455079e-01
210,217,3.643744,4.100186,-1.180207e-01
225,232,3.386986,4.091831,-1.890519e-01
240,247,3.644143,4.054516,-1.067101e-01
255,262,3.641143,4.052742,-1.070961e-01
270,277,3.604857,4.072499,-1.219746e-01
285,292,3.835434,4.111589,-6.952702e-02
300,307,3.852221,4.019804,-4.258317e-02
315,322,3.848927,4.105138,-6.444493e-02
330,337,3.814751,4.093574,-7.054319e-02
345,352,3.812565,4.078384,-6.739849e-02
360,367,3.603982,4.052939,-1.174028e-01
375,382,3.609332,4.035118,-1.115128e-01
390,397,3.493630,4.100557,-1.601817e-01
405,412,3.760777,4.038381,-7.121822e-02
420,427,3.810424,4.119978,-7.810727e-02
435,442,4.104867,4.048091,1.392796e-02
450,457,3.989478,4.110513,-2.988764e-02
465,472,3.818292,4.023589,-5.237127e-02
480,487,3.612001,4.068540,-1.190221e-01
495,502,3.868767,4.065558,-4.961519e-02
510,517,3.912217,4.029855,-2.962621e-02
525,532,3.817657,4.135507,-7.997305e-02
540,547,3.840468,4.056148,-5.463953e-02
555,562,3.620023,4.069071,-1.169344e-01
570,577,3.703510,4.031978,-8.497593e-02
585,592,3.860058,4.098917,-6.004073e-02
600,607,3.829508,4.044846,-5.470724e-02
615,622,3.819727,4.073862,-6.441247e-02
630,637,3.791617,4.065380,-6.971455e-02
645,652,3.782370,4.041450,-6.625269e-02
660,667,3.875934,4.124710,-6.220917e-02
675,682,3.849407,4.004734,-3.955821e-02
690,697,3.939480,4.111371,-4.270795e-02
705,712,3.962780,4.051697,-2.219005e-02
720,727,3.841887,3.998668,-3.999767e-02
735,742,4.196813,4.145472,1.230869e-02
750,757,3.951471,4.033969,-2.066307e-02
765,772,3.867464,4.068773,-5.074237e-02
780,787,3.860158,4.059553,-5.036467e-02
795,802,3.869580,4.059837,-4.799675e-02
810,817,3.804628,4.048862,-6.221752e-02
825,832,3.989217,4.044400,-1.373818e-02
840,847,3.938706,4.088368,-3.729357e-02
855,862,3.918843,4.101487,-4.555312e-02
870,877,4.052501,4.059000,-1.602485e-03
885,892,3.949773,4.033255,-2.091573e-02
900,907,3.780001,4.064704,-7.261669e-02
915,922,3.763695,4.053571,-7.419713e-02
930,937,3.707657,4.022617,-8.153241e-02
945,952,3.745684,4.124362,-9.630719e-02
960,967,3.873249,4.045902,-4.361081e-02
975,982,3.779940,4.087550,-7.823776e-02
990,997,3.802746,4.028603,-5.769630e-02
1005,1012,3.775322,4.035789,-6.671616e-02
1020,1027,3.986142,4.091238,-2.602383e-02
1035,1042,3.809638,4.013726,-5.218603e-02
1050,1057,4.027402,4.107381,-1.966390e-02
1065,1072,4.035682,4.071866,-8.926149e-03
1080,1087,4.127243,4.072096,1.345170e-02
1095,1102,3.945217,4.013757,-1.722378e-02
1110,1117,4.106924,4.093469,3.281639e-03
1125,1132,4.009979,4.029370,-4.823811e-03
1140,1147,3.914328,3.986925,-1.837679e-02
1155,1206,3.934787,4.066234,-3.286040e-02
1260,1311,3.861564,4.056144,-4.916049e-02
1365,1416,3.893630,4.058634,-4.150478e-02
1470,1521,3.844801,4.057088,-5.374361e-02
1575,1626,3.994843,4.057389,-1.553541e-02
1680,1731,3.840676,4.054267,-5.412156e-02
1785,1836,4.002059,4.059892,-1.434748e-02
1890,1941,4.008652,4.050481,-1.038044e-02
1995,2046,3.923622,4.054277,-3.275715e-02
2100,2151,3.871467,4.054711,-4.624602e-02
2205,2256,3.834199,4.049349,-5.459563e-02
2310,2361,3.941892,4.058892,-2.924939e-02
2415,2466,3.949622,4.052963,-2.582833e-02
2520,2571,3.967332,4.054979,-2.185161e-02
2625,2676,3.944872,4.046571,-2.545344e-02
2730,2782,4.016696,4.056124,-9.768084e-03
2835,2887,4.011164,4.052530,-1.025995e-02
2940,2992,3.961016,4.051726,-2.264239e-02
3045,3097,3.958835,4.052130,-2.329307e-02
3150,3202,3.902501,4.049744,-3.703600e-02
3255,3307,3.906135,4.051206,-3.646608e-02
3360,3412,3.934967,4.043288,-2.715588e-02
3465,3517,3.925535,4.058046,-3.319888e-02
3570,3622,3.909336,4.053444,-3.619937e-02
3675,3727,3.952744,4.045018,-2.307598e-02
3780,3832,3.956936,4.049326,-2.308042e-02
3885,3937,4.031398,4.046211,-3.667722e-03
3990,4042,3.955871,4.058084,-2.551015e-02
4095,4147,3.964585,4.050037,-2.132491e-02
4200,4252,4.026057,4.050188,-5.975826e-03
4305,4357,3.961867,4.047385,-2.135584e-02
4410,4462,3.990033,4.047323,-1.425600e-02
4515,4567,3.997206,4.045244,-1.194641e-02
4620,4672,4.016742,4.051332,-8.574533e-03
4725,4777,3.959576,4.049037,-2.234222e-02
4830,4882,3.940226,4.048008,-2.698668e-02
4935,4987,3.928459,4.051279,-3.078536e-02
5040,5092,3.991574,4.043075,-1.281996e-02
5145,5197,4.029584,4.053567,-5.934090e-03
5250,5302,3.987333,4.040031,-1.312968e-02
5355,5407,3.958874,4.053816,-2.369909e-02
5460,5512,3.932998,4.046601,-2.847530e-02
5565,5617,3.935196,4.050182,-2.880115e-02
5670,5722,3.886062,4.043198,-3.963971e-02
5775,5827,3.949550,4.049533,-2.499994e-02
5880,5932,3.965007,4.048089,-2.073749e-02
5985,6037,3.969178,4.043881,-1.864570e-02
6090,6142,3.971519,4.048602,-1.922292e-02
6195,6247,4.002366,4.046157,-1.088190e-02
6300,6352,4.044700,4.049586,-1.207331e-03
6405,6457,4.017797,4.042108,-6.032434e-03
6510,6562,4.059555,4.051098,2.085399e-03
6615,6667,4.043818,4.043689,3.187756e-05
6720,6772,3.992505,4.044167,-1.285683e-02
6825,6877,4.055639,4.046028,2.372693e-03
6930,6982,4.034484,4.051003,-4.086017e-03
7035,7087,4.008336,4.048566,-9.986672e-03
7140,7192,4.006742,4.043665,-9.172983e-03
7245,7297,3.982325,4.047294,-1.618262e-02
7350,7402,3.981201,4.045304,-1.597312e-02
7455,7507,3.968242,4.043567,-1.880407e-02
7560,7612,3.972123,4.048792,-1.911779e-02
7665,7717,3.945572,4.044694,-2.481201e-02
7770,7822,3.939594,4.045143,-2.643921e-02
7875,7927,3.925289,4.041312,-2.912955e-02
7980,8032,3.952136,4.044502,-2.310234e-02
8085,8137,3.953393,4.049981,-2.413810e-02
8190,8242,3.956252,4.047966,-2.291752e-02
8295,8347,3.967198,4.046736,-1.985047e-02
8400,8452,4.005788,4.043474,-9.364020e-03
8505,8557,3.959131,4.040907,-2.044444e-02
8610,8662,4.000405,4.047363,-1.166995e-02
8715,8767,4.001009,4.045444,-1.104479e-02
8820,8872,4.004901,4.041985,-9.217183e-03
8925,8977,4.002710,4.049615,-1.165016e-02
9030,9082,3.981217,4.041709,-1.507995e-02
9135,9187,4.001248,4.042176,-1.017680e-02
9240,9292,4.012813,4.047578,-8.626122e-03
9345,9397,4.007555,4.046212,-9.599785e-03
9450,9502,3.954109,4.041122,-2.176694e-02
9555,9607,3.959602,4.048400,-2.217808e-02
9660,9712,3.979257,4.041810,-1.559740e-02
9765,9817,4.001682,4.050941,-1.223435e-02
9870,9922,3.985420,4.036520,-1.274029e-02
9975,10027,3.995647,4.049085,-1.328544e-02
10080,10132,3.973715,4.041617,-1.694360e-02
10185,10237,3.994393,4.043748,-1.228053e-02
10290,10342,4.024021,4.041041,-4.220668e-03
10395,10447,4.027247,4.049154,-5.424933e-03
10500,10552,4.035725,4.043076,-1.819749e-03
10605,10657,4.053754,4.040993,3.152783e-03
10710,10762,4.070227,4.048462,5.361759e-03
10815,10867,4.004331,4.039097,-8.644560e-03
10920,10972,4.036042,4.050086,-3.473587e-03
11025,11077,3.992546,4.040991,-1.206091e-02
11130,11182,4.025832,4.048674,-5.657907e-03
11235,11287,3.981372,4.039033,-1.437878e-02
11340,11392,4.001539,4.043657,-1.047057e-02
11445,11497,3.971368,4.039288,-1.695789e-02
11550,11602,4.004036,4.044009,-9.933808e-03
11655,11707,3.996074,4.047536,-1.279587e-02
11760,11812,3.976595,4.040632,-1.597506e-02
11865,11917,3.981940,4.041349,-1.480960e-02
11970,12022,4.002692,4.041285,-9.595614e-03
12075,12127,4.044790,4.048324,-8.733432e-04
12180,12232,4.019047,4.044163,-6.229682e-03
12285,12337,4.042544,4.043656,-2.751057e-04
12390,12442,4.009926,4.040553,-7.608787e-03
12495,12547,4.017812,4.050774,-8.170405e-03
12600,12652,3.944461,4.033875,-2.241501e-02
12705,12757,3.949004,4.047846,-2.472154e-02
12810,12862,3.934691,4.043448,-2.726545e-02
12915,12967,3.968793,4.038794,-1.748391e-02
13020,13072,3.980025,4.048149,-1.697160e-02
13125,13177,3.977088,4.042286,-1.626050e-02
13230,13282,3.958165,4.040990,-2.070924e-02
13335,13387,3.984332,4.041340,-1.420669e-02
13440,13492,4.007290,4.044170,-9.161159e-03
13545,13597,3.987941,4.035129,-1.176305e-02
13650,13702,3.991798,4.050842,-1.468291e-02
13755,13807,3.982027,4.039977,-1.444805e-02
13860,13912,3.985947,4.044504,-1.458415e-02
13965,14017,3.956587,4.043849,-2.181533e-02
14070,14122,3.976917,4.041582,-1.612936e-02
14175,14227,3.967667,4.042103,-1.858704e-02
14280,14332,3.989706,4.043702,-1.344301e-02
14385,14437,3.994566,4.042369,-1.189581e-02
14490,14542,4.003207,4.042229,-9.700513e-03
14595,14647,4.007548,4.042725,-8.739472e-03
14700,14752,4.017751,4.038427,-5.133035e-03
14805,14857,4.036712,4.044515,-1.931247e-03
14910,14962,4.021344,4.036072,-3.655620e-03
15015,15581,4.022986,4.042552,-4.851638e-03
16170,16737,4.017232,4.041462,-6.013429e-03
17325,17893,4.009270,4.041474,-8.000233e-03
18480,19048,3.999206,4.040728,-1.032898e-02
19635,20204,3.982392,4.041172,-1.465218e-02
20790,21359,3.983191,4.040666,-1.432614e-02
21945,22515,4.019335,4.040178,-5.172187e-03
23100,23670,4.027253,4.040337,-3.243794e-03
24255,24825,4.024633,4.039773,-3.754631e-03
25410,25981,4.000939,4.039897,-9.690104e-03
26565,27136,4.000845,4.039499,-9.615145e-03
27720,28291,4.029672,4.039487,-2.432698e-03
28875,29446,4.023199,4.038615,-3.824373e-03
30030,30602,4.005681,4.039605,-8.433411e-03
31185,31757,3.986567,4.039123,-1.309725e-02
32340,32912,4.000521,4.038222,-9.379743e-03
33495,34067,4.007956,4.038858,-7.680683e-03
34650,35222,4.012041,4.038535,-6.581884e-03
35805,36377,4.001639,4.038255,-9.108633e-03
36960,37533,4.012229,4.038301,-6.477113e-03
38115,38688,4.042901,4.037586,1.315422e-03
39270,39843,4.043836,4.038197,1.395234e-03
40425,40998,4.028247,4.037994,-2.416553e-03
41580,42153,4.022976,4.037703,-3.654145e-03
42735,43308,4.011115,4.037751,-6.618554e-03
43890,44463,4.004938,4.037178,-8.017683e-03
45045,45618,4.011821,4.037647,-6.416704e-03
46200,46773,3.995088,4.037329,-1.051786e-02
47355,47929,4.001174,4.037992,-9.159641e-03
48510,49084,4.005415,4.036710,-7.782797e-03
49665,50239,4.016569,4.037141,-5.108594e-03
50820,51394,4.012629,4.036836,-6.014710e-03
51975,52549,4.013069,4.036797,-5.895310e-03
53130,53704,4.013727,4.037188,-5.828332e-03
54285,54859,4.026321,4.036695,-2.573131e-03
55440,56014,4.022016,4.036605,-3.620645e-03
56595,57169,4.018045,4.036555,-4.596109e-03
57750,58324,4.009461,4.036528,-6.728055e-03
58905,59479,4.004974,4.036133,-7.749797e-03
60060,60634,4.021213,4.036457,-3.783880e-03
61215,61789,4.027165,4.036445,-2.301833e-03
62370,62944,4.027227,4.036386,-2.271489e-03
63525,64099,4.042465,4.036401,1.501341e-03
64680,65254,4.025187,4.035918,-2.662582e-03
65835,66409,4.022208,4.035930,-3.405560e-03
66990,67565,4.014983,4.036111,-5.248437e-03
68145,68720,4.021830,4.035967,-3.509026e-03
69300,69875,4.013554,4.036023,-5.582551e-03
70455,71030,4.017318,4.035779,-4.584811e-03
71610,72185,4.013949,4.035863,-5.444692e-03
72765,73340,4.017545,4.035600,-4.483984e-03
73920,74495,4.011600,4.035642,-5.975148e-03
75075,75650,4.009473,4.035410,-6.448212e-03
76230,76805,4.011181,4.035770,-6.111400e-03
77385,77960,4.011397,4.035033,-5.874844e-03
78540,79115,4.010841,4.035663,-6.169661e-03
79695,80270,4.009339,4.035930,-6.610403e-03
80850,81425,4.023757,4.035079,-2.809784e-03
82005,82580,4.022988,4.035142,-3.016726e-03
83160,83735,4.018975,4.035037,-3.988698e-03
84315,84890,4.010615,4.035505,-6.186752e-03
85470,86045,4.012185,4.035446,-5.780798e-03
86625,87200,4.016880,4.034634,-4.410194e-03
87780,88355,4.017290,4.035525,-4.528999e-03
88935,89510,4.013390,4.034308,-5.198497e-03
90090,90665,4.019602,4.035561,-3.962519e-03
91245,91820,4.027853,4.035247,-1.834127e-03
92400,92975,4.027672,4.034578,-1.713225e-03
93555,94130,4.033261,4.034928,-4.132471e-04
94710,95285,4.031047,4.034734,-9.143353e-04
95865,96440,4.023644,4.035466,-2.933831e-03
97020,97595,4.022244,4.033881,-2.889039e-03
98175,98750,4.019603,4.034576,-3.718086e-03
99330,99905,4.024129,4.034623,-2.604224e-03
100485,101060,4.027807,4.034968,-1.776422e-03
101640,102215,4.036172,4.034648,3.777287e-04
102795,103370,4.031097,4.034703,-8.941172e-04
103950,104525,4.026614,4.033949,-1.820000e-03
105105,105680,4.026356,4.034486,-2.017271e-03
106260,106835,4.024832,4.034637,-2.433065e-03
107415,107990,4.023421,4.034516,-2.753746e-03
108570,109145,4.024285,4.034399,-2.510128e-03
109725,110300,4.018552,4.034581,-3.980863e-03
110880,111456,4.018080,4.034015,-3.957977e-03
112035,112611,4.008850,4.034541,-6.388150e-03
113190,113766,4.007609,4.034206,-6.614867e-03
114345,114921,4.008934,4.034086,-6.254406e-03
115500,116076,4.006627,4.034341,-6.893168e-03
116655,117231,4.001487,4.033814,-8.046157e-03
117810,118386,4.004457,4.034577,-7.493531e-03
118965,119541,4.004474,4.033521,-7.227319e-03
120120,120696,4.012186,4.034111,-5.449742e-03
121275,121851,4.010717,4.034304,-5.863646e-03
122430,123006,4.013154,4.033959,-5.170759e-03
123585,124161,4.019512,4.033839,-3.557931e-03
124740,125316,4.024609,4.034170,-2.373055e-03
125895,126471,4.024588,4.033847,-2.297882e-03
127050,127626,4.016761,4.033557,-4.172772e-03
128205,128781,4.025668,4.033823,-2.023776e-03
129360,129936,4.027098,4.034218,-1.766380e-03
130515,131091,4.022806,4.033608,-2.681548e-03
131670,132246,4.023545,4.033795,-2.544288e-03
132825,133401,4.024300,4.034025,-2.413711e-03
133980,134556,4.021612,4.033125,-2.858748e-03
135135,135711,4.017535,4.034142,-4.125147e-03
136290,136866,4.015958,4.033056,-4.248493e-03
137445,138021,4.020978,4.034019,-3.237997e-03
138600,139176,4.029398,4.033958,-1.131062e-03
139755,140331,4.036050,4.033478,6.375523e-04
140910,141486,4.031334,4.033139,-4.476471e-04
142065,142641,4.027764,4.033545,-1.434348e-03
143220,143796,4.023193,4.033577,-2.577780e-03
144375,144951,4.017469,4.033909,-4.083684e-03
145530,146106,4.018640,4.033360,-3.656041e-03
146685,147261,4.024243,4.033382,-2.268415e-03
147840,148416,4.024348,4.033701,-2.321547e-03
148995,149571,4.023152,4.032684,-2.366457e-03
150150,150726,4.026363,4.033599,-1.795586e-03
151305,151881,4.021994,4.033478,-2.851102e-03
152460,153036,4.028740,4.033046,-1.068221e-03
153615,154191,4.034701,4.033442,3.120552e-04
154770,155346,4.026774,4.033459,-1.658833e-03
155925,156501,4.022407,4.033258,-2.693912e-03
157080,157656,4.021694,4.032887,-2.779224e-03
158235,158811,4.016326,4.033097,-4.167018e-03
159390,159966,4.018280,4.033414,-3.759369e-03
160545,161121,4.019692,4.033168,-3.346712e-03
161700,162276,4.017758,4.033457,-3.899710e-03
162855,163431,4.019354,4.033020,-3.394402e-03
164010,164586,4.016191,4.032493,-4.050719e-03
165165,165741,4.022623,4.033499,-2.700146e-03
166320,166896,4.022411,4.032958,-2.618445e-03
167475,168051,4.024999,4.032988,-1.982823e-03
168630,169206,4.022035,4.033350,-2.809391e-03
169785,170361,4.024957,4.032970,-1.988751e-03
170940,171516,4.023541,4.033170,-2.390312e-03
172095,172671,4.022166,4.032789,-2.637728e-03
173250,173826,4.020945,4.032522,-2.875220e-03
174405,174981,4.018592,4.032999,-3.578524e-03
175560,176136,4.015699,4.033102,-4.324417e-03
176715,177291,4.022440,4.032669,-2.539597e-03
177870,178446,4.028049,4.032931,-1.211252e-03
179025,179601,4.028028,4.032456,-1.098557e-03
180180,180756,4.026469,4.033084,-1.641599e-03
181335,181911,4.027196,4.032798,-1.390267e-03
182490,183066,4.023990,4.032773,-2.180351e-03
183645,184221,4.028325,4.033163,-1.200441e-03
184800,185376,4.023577,4.032711,-2.267667e-03
185955,186531,4.016996,4.032729,-3.908933e-03
187110,187686,4.022741,4.032469,-2.415500e-03
188265,188841,4.024257,4.032832,-2.128683e-03
189420,189996,4.023997,4.032598,-2.135086e-03
190575,191151,4.017656,4.032656,-3.726644e-03
191730,192306,4.012280,4.032775,-5.095007e-03
192885,193461,4.015177,4.032860,-4.394362e-03
194040,194616,4.016524,4.031704,-3.772341e-03
195195,195771,4.014185,4.032519,-4.556993e-03
196350,196926,4.014717,4.032984,-4.539645e-03
197505,198081,4.013609,4.032817,-4.774301e-03
198660,199236,4.008516,4.032433,-5.948886e-03
199815,200391,4.008258,4.032188,-5.952425e-03
200970,201546,4.010611,4.032963,-5.557758e-03
202125,202701,4.013349,4.032245,-4.697011e-03
203280,203856,4.014284,4.032366,-4.494170e-03
204435,205011,4.012588,4.032685,-4.995936e-03
205590,206166,4.013633,4.032616,-4.718334e-03
206745,207321,4.014391,4.032190,-4.423860e-03
207900,208476,4.013153,4.032237,-4.744051e-03
209055,209631,4.015080,4.032096,-4.229051e-03
210210,210786,4.016649,4.032762,-4.003617e-03
211365,211941,4.018067,4.032401,-3.561078e-03
212520,213096,4.023933,4.032380,-2.097153e-03
213675,214251,4.023164,4.032118,-2.223162e-03
214830,215406,4.028561,4.032288,-9.245677e-04
215985,216561,4.025375,4.032293,-1.716952e-03
217140,217716,4.028236,4.032436,-1.042123e-03
218295,218871,4.029538,4.032034,-6.192529e-04
219450,220026,4.028400,4.032605,-1.043227e-03
220605,221181,4.032678,4.031995,1.693723e-04
221760,222336,4.028821,4.032270,-8.555964e-04
222915,223491,4.029912,4.032475,-6.356669e-04
224070,224646,4.029917,4.031750,-4.546846e-04
225225,225801,4.033492,4.032181,3.251290e-04
226380,226956,4.028911,4.032360,-8.557515e-04
227535,228111,4.029162,4.032223,-7.592316e-04
228690,229266,4.029957,4.032232,-5.644353e-04
229845,230421,4.030768,4.032106,-3.319856e-04
231000,231576,4.031054,4.031893,-2.080668e-04
232155,232731,4.030269,4.032039,-4.392668e-04
233310,233886,4.032269,4.032004,6.579142e-05
234465,235041,4.033860,4.031903,4.853284e-04
235620,236196,4.033353,4.032039,3.259534e-04
236775,237351,4.036423,4.032405,9.961009e-04
237930,238506,4.033324,4.031828,3.711861e-04
239085,239661,4.034302,4.031679,6.505594e-04
240240,240816,4.027116,4.032064,-1.228091e-03
241395,241971,4.027936,4.032554,-1.146049e-03
242550,243126,4.026508,4.031629,-1.271098e-03
243705,244281,4.028880,4.032135,-8.076221e-04
244860,245436,4.030160,4.032336,-5.399775e-04
246015,246591,4.023919,4.031546,-1.893763e-03
247170,247746,4.019882,4.031645,-2.921988e-03
248325,248901,4.018629,4.031787,-3.268802e-03
249480,250056,4.020482,4.032044,-2.871635e-03
250635,251211,4.022307,4.032464,-2.521962e-03
251790,252366,4.020126,4.031113,-2.729431e-03
252945,253521,4.021293,4.032259,-2.723205e-03
254100,254676,4.020023,4.031254,-2.789854e-03
255255,262655,4.021829,4.031737,-2.460508e-03
270270,277676,4.015871,4.031589,-3.906111e-03
285285,292696,4.024227,4.031488,-1.802655e-03
300300,307715,4.016165,4.031296,-3.760231e-03
315315,322735,4.021814,4.031208,-2.333149e-03
330330,337754,4.026793,4.031052,-1.056984e-03
345345,352772,4.029882,4.030954,-2.658920e-04
360360,367790,4.023750,4.030833,-1.758918e-03
375375,382808,4.021013,4.030730,-2.413593e-03
390390,397826,4.025903,4.030661,-1.181009e-03
405405,412844,4.028104,4.030544,-6.056001e-04
420420,427861,4.019928,4.030419,-2.606551e-03
435435,442878,4.020104,4.030382,-2.553392e-03
450450,457895,4.019759,4.030293,-2.616934e-03
465465,472912,4.023432,4.030182,-1.676168e-03
480480,487929,4.024909,4.030130,-1.296475e-03
495495,502946,4.018886,4.030027,-2.768277e-03
510510,517963,4.023058,4.029992,-1.722099e-03
525525,532979,4.025258,4.029879,-1.147418e-03
540540,547996,4.024553,4.029850,-1.315255e-03
555555,563012,4.024540,4.029753,-1.294440e-03
570570,578028,4.025788,4.029727,-9.779884e-04
585585,593044,4.030078,4.029645,1.073531e-04
600600,608061,4.028766,4.029574,-2.004591e-04
615615,623077,4.029579,4.029515,1.573800e-05
630630,638093,4.023799,4.029484,-1.411893e-03
645645,653109,4.020593,4.029409,-2.190420e-03
660660,668125,4.018334,4.029340,-2.735098e-03
675675,683141,4.022226,4.029284,-1.753236e-03
690690,698157,4.020029,4.029285,-2.299802e-03
705705,713172,4.015841,4.029203,-3.321982e-03
720720,728188,4.018742,4.029154,-2.587669e-03
735735,743204,4.023585,4.029103,-1.370313e-03
750750,758220,4.023248,4.029051,-1.441318e-03
765765,773236,4.024490,4.029018,-1.124375e-03
780780,788251,4.027030,4.028950,-4.766481e-04
795795,803267,4.027693,4.028932,-3.076772e-04
810810,818283,4.027196,4.028896,-4.219220e-04
825825,833298,4.025062,4.028863,-9.439546e-04
840840,848314,4.026855,4.028775,-4.767203e-04
855855,863329,4.025773,4.028752,-7.397151e-04
870870,878345,4.023344,4.028712,-1.333372e-03
885885,893360,4.022435,4.028729,-1.563406e-03
900900,908376,4.022216,4.028630,-1.593275e-03
915915,923391,4.025072,4.028623,-8.818340e-04
930930,938407,4.026097,4.028549,-6.088727e-04
945945,953422,4.022507,4.028530,-1.496134e-03
960960,968438,4.024792,4.028530,-9.284572e-04
975975,983453,4.025200,4.028468,-8.115017e-04
990990,998469,4.025667,4.028418,-6.831784e-04
1006005,1013484,4.027719,4.028380,-1.640576e-04
