DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
4,4,1.921812,4,2.87013700,4,1.921812,4,2.87013699,4,1.921812,2.87013699
5,5,2.590290,5,4.26609300,5,2.590290,5,4.26609329,5,2.590290,4.26609329
6,6,2.140268,6,6.21887500,6,2.140268,6,6.21887455,6,2.140268,6.21887455
7,7,0.000000,7,3.39303600,7,0.000000,7,3.39303648,7,0.000000,3.39303648
8,8,2.162039,8,2.81463800,8,2.162039,8,2.81463781,8,2.162039,2.81463780
9,9,4.827796,9,5.82036700,9,4.827796,9,5.82036707,9,4.827796,5.82036707
10,10,2.120759,10,3.85537200,10,2.120759,10,3.85537204,10,2.120759,3.85537204
11,11,0.000000,11,3.09746800,11,0.000000,11,3.09746822,11,0.000000,3.09746822
12,12,4.116507,12,5.56593700,12,4.116507,12,5.56593708,12,4.116507,5.56593708
13,13,2.192988,13,3.09023800,13,2.192988,13,3.09023772,13,2.192988,3.09023772
14,14,1.989892,14,3.39054100,14,1.989892,14,3.39054128,14,1.989892,3.39054128
(5#)/2,19,0.000000,16,2.76514200,21,5.561470,15,7.37996871,21,2.633998,4.13492530
(5#),43,0.000000,32,2.73462400,30,6.169677,30,7.34072410,36,2.876782,4.15727910
(5#)3/2,59,1.146642,59,2.76459700,45,6.586672,45,7.28666194,52,3.324713,4.05651799
(5#)2,64,1.081019,64,2.71538500,60,6.705463,60,7.24494775,67,3.469063,4.09451391
(5#)5/2,79,0.979081,89,2.74316900,75,7.053239,75,7.23135463,82,3.512849,4.10174810
(5#)3,97,0.871999,103,2.73265700,90,5.399543,90,7.23185422,97,3.245242,4.07170108
(7#)/2,113,1.596300,113,2.73130500,105,8.330518,105,8.66686583,112,3.577188,4.15012938
(5#)4,128,2.207081,128,2.70246600,120,6.876023,120,7.20928755,127,3.760342,4.07911963
(5#)9/2,146,1.360895,149,2.72030400,135,6.464343,135,7.20410054,142,3.435240,4.06265594
(5#)5,157,1.311058,163,2.71559900,150,5.356046,150,7.20511157,157,3.400776,4.04097085
(5#)11/2,178,1.810172,179,2.71281900,165,7.630443,165,8.00082618,172,3.595329,4.11560196
(5#)6,181,1.801625,193,2.71205400,189,7.015126,180,7.19355883,187,3.875746,4.05333677
(5#)13/2,199,1.132084,199,2.70990500,195,7.452759,195,7.84428932,202,3.549984,4.10600660
(7#),223,1.053604,223,2.70701900,210,8.169017,210,8.62979456,217,3.643744,4.10096787
(5#)15/2,236,1.517972,239,2.70537700,225,6.285888,231,7.18508610,232,3.386986,4.09183067
(5#)8,241,1.504150,251,2.70426500,252,6.794352,240,7.18404410,247,3.644143,4.05370703
(5#)17/2,262,2.366905,256,2.69327500,255,7.253292,255,7.66085308,262,3.641143,4.05274239
(5#)9,283,1.808288,283,2.70169900,270,6.964962,270,7.18281338,277,3.604857,4.07307828
(5#)19/2,292,2.207228,293,2.70179000,294,6.152967,285,7.60337193,292,3.835434,4.11158878
(5#)10,313,1.693274,313,2.70043700,300,6.940402,300,7.17743292,307,3.852221,4.01919122
(7#)3/2,316,2.096745,317,2.70018400,315,8.431106,315,8.61115415,322,3.848927,4.10513781
(5#)11,337,1.613017,337,2.69899700,330,7.744970,330,7.97401946,337,3.814751,4.09403521
(5#)23/2,349,1.970222,359,2.69720200,345,7.941165,345,7.51690411,352,3.812565,4.07838372
(5#)12,362,1.917761,373,2.69713500,360,6.159328,360,7.17246315,367,3.603982,4.05244315
(5#)25/2,379,1.492247,389,2.69640200,375,6.011286,375,7.17131417,382,3.609332,4.03511805
(5#)13,391,1.826947,401,2.69588400,390,6.571367,390,7.82387510,397,3.493630,4.10093745
(5#)27/2,412,2.111809,419,2.69464000,405,6.067260,405,7.17078622,412,3.760777,4.03838097
(7#)2,433,1.364958,433,2.69462200,420,7.991882,420,8.60223889,427,3.810424,4.11955932
(5#)29/2,439,2.366648,449,2.69404800,435,7.484021,435,7.43306573,442,4.104867,4.04809123
(5#)15,463,1.956971,463,2.69311600,462,7.496438,462,7.16743359,457,3.989478,4.11083597
(5#)31/2,466,1.944258,479,2.69261900,465,7.479882,465,7.41434850,472,3.818292,4.02358945
(5#)16,481,1.907067,491,2.69226400,483,6.655973,480,7.16531086,487,3.612001,4.06818712
(5#)33/2,496,1.863948,509,2.69216300,495,7.792821,495,7.96058969,502,3.868767,4.06555805
(5#)17,524,2.394277,512,2.68642900,510,7.011460,510,7.64264747,517,3.912217,4.03012858
(7#)5/2,526,2.089567,538,2.69644800,525,7.786138,525,8.59706998,532,3.817657,4.13550700
(5#)18,548,2.031998,547,2.69077500,540,7.037128,540,7.16260023,547,3.840468,4.05584231
(5#)37/2,569,1.983900,569,2.69061100,555,6.919167,555,7.36656045,562,3.620023,4.06907089
(5#)19,577,2.245675,577,2.69042400,570,7.912132,570,7.58365556,577,3.703510,4.03221845
(5#)39/2,599,2.188595,599,2.68959600,585,7.507745,585,7.81275465,592,3.860058,4.09891719
(5#)20,601,1.910627,613,2.68963100,609,7.032215,600,7.16027293,607,3.829508,4.04457759
(5#)41/2,617,1.876316,619,2.68918500,615,7.253455,615,7.34327566,622,3.819727,4.07386159
(7#)3,631,2.111378,643,2.68871800,630,7.913772,630,8.59207809,637,3.791617,4.06559571
(5#)43/2,649,2.329513,659,2.68842300,645,6.238688,645,7.33412050,652,3.782370,4.04144972
(5#)22,661,1.788981,673,2.68846400,660,7.918936,660,7.95360276,667,3.875934,4.12446582
(5#)45/2,677,2.010889,683,2.68800000,675,7.304469,675,7.15773218,682,3.849407,4.00473416
(5#)23,697,2.216917,701,2.68797500,693,7.172064,690,7.49893355,697,3.939480,4.11156809
(5#)47/2,706,1.706515,719,2.68740700,714,7.256555,705,7.31662958,712,3.962780,4.05169749
(5#)24,734,2.135493,733,2.68745200,720,6.733463,720,7.15644784,727,3.841887,3.99845428
(7#)7/2,743,2.355865,743,2.68703700,735,8.545496,735,8.58719170,742,4.196813,4.14547208
(5#)25,751,2.338294,761,2.68702400,750,7.245794,750,7.15630777,757,3.951471,4.03414473
(5#)51/2,766,2.072834,773,2.68684800,765,7.155636,765,7.63291811,772,3.867464,4.06877276
(5#)26,788,1.806384,787,2.68640500,780,7.049908,780,7.80528485,787,3.860158,4.05935529
(5#)53/2,802,1.784236,809,2.68634400,795,6.515906,795,7.29471835,802,3.869580,4.05983663
(5#)27,821,1.976976,823,2.68592800,810,6.644484,810,7.15472752,817,3.804628,4.04902295
(5#)55/2,839,2.379710,839,2.68572600,825,7.662005,825,7.94924953,832,3.989217,4.04439974
(7#)4,841,2.159749,853,2.68577500,840,8.204146,840,8.58407866,847,3.938706,4.08818560
(5#)57/2,859,1.914982,863,2.68543400,855,7.471700,855,7.57379415,862,3.918843,4.10148657
(5#)29,883,2.295458,883,2.68520000,870,7.793391,870,7.41823750,877,4.052501,4.05914853
(5#)59/2,886,2.287381,887,2.68515400,885,7.917102,885,7.27842450,892,3.949773,4.03325537
(5#)30,904,2.050129,911,2.68488600,900,6.786644,900,7.15208551,907,3.780001,4.06453694
(5#)61/2,919,1.825774,929,2.68489100,915,6.918699,915,7.27296264,922,3.763695,4.05357131
(5#)31,943,1.991920,941,2.68476200,930,6.631190,930,7.39862282,937,3.707657,4.02275343
(7#)9/2,958,2.164457,953,2.68463500,945,7.557932,945,8.58200080,952,3.745684,4.12436242
(5#)32,967,1.761041,971,2.68426000,960,7.073216,960,7.15088425,967,3.873249,4.04574787
(5#)65/2,982,1.933461,983,2.68414200,975,7.586652,975,7.80062493,982,3.779940,4.08755016
(5#)33,997,2.106150,997,2.68419000,990,7.497192,990,7.94534790,997,3.802746,4.02873027
(5#)67/2,1009,1.898450,1019,2.68380100,1005,6.853771,1005,7.26051298,1012,3.775322,4.03578870
(5#)34,1024,2.252124,1024,2.68114100,1020,7.339809,1020,7.62643108,1027,3.986142,4.09109309
(5#)69/2,1048,2.030676,1049,2.68370200,1035,7.084544,1035,7.48994347,1042,3.809638,4.01372642
(7#)5,1063,2.195023,1063,2.68340700,1050,8.664745,1050,8.57966186,1057,4.027402,4.10750186
(5#)71/2,1072,2.361462,1069,2.68352500,1071,6.913789,1065,7.25304850,1072,4.035682,4.07186612
(5#)36,1094,2.506504,1093,2.68331800,1092,7.708615,1080,7.14875727,1087,4.127243,4.07196083
(5#)73/2,1109,1.952088,1109,2.68318300,1095,6.984228,1095,7.24917329,1102,3.945217,4.01375731
(5#)37,1123,2.110511,1123,2.68290900,1110,7.441910,1110,7.35295362,1117,4.106924,4.09358223
(5#)75/2,1126,2.104611,1129,2.68302000,1125,6.850425,1125,7.14844049,1132,4.009979,4.02936955
(5#)38,1147,2.252003,1153,2.68282900,1140,7.127451,1140,7.56826738,1147,3.914328,3.98680114
(11#)/2,1244,2.122683,1259,2.68191500,1155,9.135596,1155,9.53007910,1206,3.934787,4.06623371
(7#)6,1319,1.723241,1361,2.68139600,1260,8.736587,1260,8.57531312,1311,3.861564,4.05603609
(7#)13/2,1402,1.647631,1459,2.68071200,1365,8.558090,1365,9.35356312,1416,3.893630,4.05871976
(7#)7,1489,1.865276,1571,2.68014000,1470,7.815395,1470,8.57264344,1521,3.844801,4.05708800
(7#)15/2,1676,2.104753,1669,2.67978700,1575,8.539645,1575,8.57093822,1626,3.994843,4.05730551
(7#)8,1774,2.019039,1783,2.67920500,1680,8.404363,1680,8.56975153,1731,3.840676,4.05426709
(7#)17/2,1849,2.204669,1889,2.67888300,1785,8.798305,1785,9.14018451,1836,4.002059,4.05995548
(7#)9,1966,1.989272,1993,2.67850800,1890,8.432140,1890,8.56789132,1941,4.008652,4.05048058
(7#)19/2,2029,1.715762,2048,2.67693700,1995,8.570591,1995,9.07056300,2046,3.923622,4.05421303
(7#)10,2104,2.003507,2203,2.67775600,2145,8.123796,2145,8.65214719,2151,3.871467,4.05471095
(7#)21/2,2287,1.989104,2309,2.67752100,2205,8.067147,2205,8.56514666,2256,3.834199,4.04939920
(11#),2347,2.156625,2411,2.67717700,2310,9.140582,2310,9.51595498,2361,3.941892,4.05889235
(7#)23/2,2447,2.190317,2503,2.67694300,2415,8.646399,2415,8.97116580,2466,3.949622,4.05291158
(7#)12,2623,2.363446,2621,2.67672000,2520,7.983995,2520,8.56269466,2571,3.967332,4.05497860
(7#)25/2,2633,2.168203,2729,2.67647400,2625,8.598050,2625,8.56221025,2676,3.944872,4.04661239
(7#)13,2809,2.065835,2833,2.67624900,2730,9.539146,2730,9.33990552,2782,4.016696,4.05612356
(7#)27/2,2909,2.274897,2939,2.67598000,2835,8.563346,2835,8.56078760,2887,4.011164,4.05248688
(7#)14,2974,2.064698,3041,2.67583300,2940,8.677392,2940,8.56022332,2992,3.961016,4.05172644
(7#)29/2,3076,1.845344,3137,2.67565400,3135,8.850708,3045,8.87685877,3097,3.958835,4.05216538
(7#)15,3221,2.107297,3253,2.67544800,3150,8.074648,3150,8.55930633,3202,3.902501,4.04974358
(7#)31/2,3334,2.210551,3359,2.67522300,3255,9.086519,3255,8.85376750,3307,3.906135,4.05116909
(7#)16,3386,2.340982,3463,2.67505600,3360,8.555133,3360,8.55816779,3412,3.934967,4.04328813
(11#)3/2,3559,2.029695,3559,2.67490800,3465,9.205098,3465,9.50870704,3517,3.925535,4.05807616
(7#)17,3571,2.249487,3673,2.67477900,3570,8.472487,3570,9.12788635,3622,3.909336,4.05344426
(7#)35/2,3769,1.943543,3779,2.67458700,3675,8.657968,3675,8.55682377,3727,3.952744,4.04498570
(7#)18,3799,2.075010,3881,2.67448600,3795,8.163449,3780,8.55641678,3832,3.956936,4.04932570
(7#)37/2,3964,2.216472,3989,2.67434200,3885,8.652843,3885,8.80059383,3937,4.031398,4.04623792
(7#)19,4051,2.044491,4093,2.67420800,3990,8.615256,3990,9.05902910,4042,3.955871,4.05808445
(7#)39/2,4153,2.340594,4096,2.67351700,4095,9.260206,4095,9.33300293,4147,3.964585,4.05000865
(7#)20,4282,2.220909,4297,2.67395900,4200,8.219780,4290,8.64111668,4252,4.026057,4.05018829
(7#)41/2,4393,2.306710,4409,2.67382900,4305,8.459134,4305,8.77400021,4357,3.961867,4.04740920
(7#)21,4486,2.143577,4513,2.67371200,4410,8.622790,4410,8.55431361,4462,3.990033,4.04732260
(7#)43/2,4603,2.102361,4603,2.67358300,4515,8.785192,4515,8.76250498,4567,3.997206,4.04521890
(11#)2,4651,2.085780,4723,2.67345700,4620,9.432003,4620,9.50395507,4672,4.016742,4.05133170
(7#)45/2,4801,1.856187,4817,2.67339100,4725,8.485605,4725,8.55334142,4777,3.959576,4.04905831
(7#)23,4909,2.178086,4933,2.67327500,4830,9.236400,4830,8.96032980,4882,3.940226,4.04800768
(7#)47/2,4987,2.151973,5039,2.67314500,4935,8.559950,4935,8.74270751,4987,3.928459,4.05125564
(7#)24,5086,2.176695,5119,2.67307000,5040,8.479144,5040,8.55236744,5092,3.991574,4.04307515
(7#)49/2,5242,2.126897,5237,2.67299000,5145,8.234373,5145,8.55217279,5197,4.029584,4.05358644
(7#)25,5308,2.217466,5351,2.67286200,5250,8.888987,5250,8.55190387,5302,3.987333,4.04003063
(7#)51/2,5416,1.965120,5449,2.67280300,5355,8.591447,5355,9.12165173,5407,3.958874,4.05379552
(7#)26,5557,2.301782,5563,2.67268200,5460,8.734048,5460,9.32868501,5512,3.932998,4.04660091
(7#)53/2,5596,2.182571,5669,2.67262000,5565,8.448369,5565,8.71878830,5617,3.935196,4.05019984
(7#)27,5728,2.248387,5749,2.67255500,5670,8.273705,5670,8.55087561,5722,3.886062,4.04319846
(11#)5/2,5857,2.159168,5879,2.67242900,5775,9.302545,5775,9.50061339,5827,3.949550,4.04951399
(7#)28,5906,2.349289,5981,2.67237500,5880,8.404214,5880,8.55032099,5932,3.965007,4.04808930
(7#)57/2,6038,2.309643,6089,2.67229500,5985,8.999710,5985,9.05311257,6037,3.969178,4.04389713
(7#)29,6131,2.233345,6173,2.67223300,6090,8.529314,6090,8.86660386,6142,3.971519,4.04860189
(7#)59/2,6218,2.356115,6299,2.67212100,6195,8.615973,6195,8.69963656,6247,4.002366,4.04613966
(7#)30,6353,2.124621,6397,2.67207500,6300,8.260687,6300,8.54943114,6352,4.044700,4.04958640
(7#)61/2,6421,2.298798,6491,2.67198900,6405,8.781065,6405,8.69418887,6457,4.017797,4.04212295
(7#)31,6568,2.399779,6607,2.67191200,6510,8.480654,6510,8.84387731,6562,4.059555,4.05109821
(7#)63/2,6719,2.265862,6719,2.67183900,6615,8.518159,6615,8.54880788,6667,4.043818,4.04367214
(7#)32,6791,2.430712,6823,2.67177200,6765,7.911785,6720,8.54861281,6772,3.992505,4.04416691
(7#)65/2,6863,2.365471,6917,2.67173300,6825,9.182816,6825,9.32561359,6877,4.055639,4.04604218
(11#)3,7024,2.323062,7027,2.67164600,6930,9.570228,6930,9.49810045,6982,4.034484,4.05100295
(7#)67/2,7108,2.390305,7129,2.67160400,7035,8.657545,7035,8.67954514,7087,4.008336,4.04855060
(7#)34,7219,2.055910,7243,2.67151800,7140,8.998678,7140,9.11771327,7192,4.006742,4.04366513
(7#)69/2,7246,2.136908,7349,2.67147500,7245,8.898695,7245,8.95476755,7297,3.982325,4.04730685
(7#)35,7351,2.199762,7451,2.67139900,7350,8.151811,7350,8.54755750,7402,3.981201,4.04530429
(7#)71/2,7522,2.372402,7559,2.67133800,7455,8.831682,7455,8.67119566,7507,3.968242,4.04355264
(7#)36,7561,2.321013,7649,2.67130700,7560,8.650793,7560,8.54715332,7612,3.972123,4.04879185
(7#)73/2,7727,2.199214,7759,2.67123000,7665,8.559782,7665,8.66741947,7717,3.945572,4.04470627
(7#)37,7846,2.336977,7873,2.67118700,7770,9.129686,7770,8.79107181,7822,3.939594,4.04514316
(7#)75/2,7951,2.232082,7963,2.67112300,7875,7.932160,7875,8.54665467,7927,3.925289,4.04129891
(7#)38,8062,2.328303,8081,2.67108000,7980,8.861511,7980,9.04923277,8032,3.952136,4.04450221
(11#)7/2,8116,2.236375,8179,2.67101400,8085,9.494047,8085,9.49598970,8137,3.953393,4.04999288
(7#)39,8224,2.292547,8192,2.67068200,8190,9.199795,8190,9.32316868,8242,3.956252,4.04796648
(7#)79/2,8311,2.234912,8389,2.67092700,8295,8.678196,8295,8.65701829,8347,3.967198,4.04672296
(7#)40,8429,2.249292,8501,2.67087300,8400,8.398189,8400,8.54588363,8452,4.005788,4.04347415
(7#)81/2,8599,2.329117,8609,2.67082200,8505,8.549372,8580,8.63195161,8557,3.959131,4.04091777
(7#)41,8614,2.287560,8713,2.67077400,8610,8.810293,8610,8.76475917,8662,4.000405,4.04736297
(7#)83/2,8777,2.179478,8819,2.67071100,8715,8.501738,8715,8.65094459,8767,4.001009,4.04543175
(7#)42,8839,2.279660,8923,2.67066400,8820,8.721193,8820,8.54530676,8872,4.004901,4.04198508
(7#)85/2,9014,2.281605,9029,2.67063200,8925,9.643464,8925,9.11489376,8977,4.002710,4.04962590
(7#)43,9091,2.412999,9133,2.67058700,9030,8.342063,9030,8.75349434,9082,3.981217,4.04170901
(7#)87/2,9173,2.323530,9239,2.67052700,9135,8.486567,9135,8.86137132,9187,4.001248,4.04216411
(11#)4,9283,2.301998,9343,2.67048300,9240,9.637497,9240,9.49418124,9292,4.012813,4.04757807
(7#)89/2,9349,2.396602,9439,2.67044400,9345,8.480367,9345,8.64288941,9397,4.007555,4.04622212
(7#)45,9511,2.294051,9551,2.67039800,9450,8.618555,9450,8.54454716,9502,3.954109,4.04112167
(7#)91/2,9649,2.163663,9649,2.67037200,9555,9.354148,9555,9.32113413,9607,3.959602,4.04838892
(7#)46,9748,2.284701,9749,2.67033200,9660,8.924952,9660,8.95111839,9712,3.979257,4.04180957
(7#)93/2,9817,2.375649,9859,2.67027500,9765,8.574123,9765,8.83879237,9817,4.001682,4.05095042
(7#)47,9941,2.284239,9973,2.67024400,9870,8.741772,9870,8.73391281,9922,3.985420,4.03652038
(7#)95/2,10078,2.360845,10079,2.67019000,9975,9.248575,9975,9.04646099,10027,3.995647,4.04907482
(7#)48,10174,2.343381,10181,2.67016500,10080,8.329116,10080,8.54376264,10132,3.973715,4.04161749
(7#)97/2,10273,2.292671,10289,2.67012500,10185,8.329507,10185,8.63361722,10237,3.994393,4.04375738
(7#)49,10369,2.243034,10391,2.67007500,10290,8.593845,10290,8.54356903,10342,4.024021,4.04104102
(11#)9/2,10462,2.194423,10499,2.67003500,10395,9.448356,10395,9.49267980,10447,4.027247,4.04914392
(7#)50,10501,2.449522,10601,2.67001100,10500,8.524160,10500,8.54330046,10552,4.035725,4.04307566
(7#)101/2,10687,2.319381,10709,2.66997300,10605,8.847616,10605,8.62952079,10657,4.053754,4.04100188
(7#)51,10786,2.430362,10799,2.66993000,10710,8.907306,10710,9.11265762,10762,4.070227,4.04846205
(7#)103/2,10883,2.318296,10909,2.66990300,10815,8.648719,10815,8.62755052,10867,4.004331,4.03908770
(7#)52,11023,2.452351,11003,2.66986000,10920,9.437686,10920,9.31948435,10972,4.036042,4.05008639
(7#)105/2,11054,2.258518,11119,2.66982100,11025,8.550569,11025,8.54278948,11077,3.992546,4.04099962
(7#)53,11197,2.391314,11213,2.66980100,11130,8.579993,11130,8.71018917,11182,4.025832,4.04867440
(7#)107/2,11272,2.131467,11329,2.66976300,11235,8.734519,11235,8.62390003,11287,3.981372,4.03902405
(7#)54,11353,2.334737,11443,2.66971400,11385,8.429395,11340,8.54244131,11392,4.001539,4.04365738
(7#)109/2,11461,2.347919,11549,2.66969200,11445,8.577796,11445,8.62220880,11497,3.971368,4.03929622
(11#)5,11593,2.296655,11633,2.66966500,11550,9.485451,11550,9.49141587,11602,4.004036,4.04400919
(7#)111/2,11749,2.392249,11743,2.66962000,11655,8.606500,11655,8.78619854,11707,3.996074,4.04752755
(7#)56,11839,2.348206,11863,2.66958200,11760,8.395878,11760,8.54204077,11812,3.976595,4.04063177
(7#)113/2,11932,2.392674,11969,2.66956100,11865,8.367746,11865,8.61893084,11917,3.981940,4.04135701
(7#)57,11971,2.386736,12073,2.66952900,11970,8.986934,11970,9.04434477,12022,4.002692,4.04128497
(7#)115/2,12101,2.395745,12163,2.66949200,12075,8.574915,12075,8.94850011,12127,4.044790,4.04831587
(7#)58,12281,2.223656,12281,2.66946700,12180,8.864733,12180,8.85801523,12232,4.019047,4.04416261
(7#)117/2,12326,2.217079,12379,2.66942800,12285,9.181055,12285,9.31810444,12337,4.042544,4.04366356
(7#)59,12422,2.346659,12491,2.66939600,12390,8.402070,12390,8.69135577,12442,4.009926,4.04055324
(7#)119/2,12574,2.295932,12589,2.66937800,12495,8.660430,12495,9.11080432,12547,4.017812,4.05076596
(7#)60,12671,2.225896,12703,2.66933500,12600,8.631114,12600,8.54129031,12652,3.944461,4.03387485
(11#)11/2,12757,2.354186,12809,2.66931600,12705,9.165957,12705,9.49025683,12757,3.949004,4.04785314
(7#)61,12878,2.336543,12911,2.66927800,12810,8.463508,12810,8.68590906,12862,3.934691,4.04344777
(7#)123/2,12982,2.377047,13009,2.66926000,12915,8.715155,12915,8.76002368,12967,3.968793,4.03878586
(7#)62,13049,2.340065,13121,2.66923000,13020,8.714150,13020,8.83545298,13072,3.980025,4.04814912
(7#)125/2,13142,2.381559,13229,2.66920100,13125,8.495334,13125,8.54088118,13177,3.977088,4.04229318
(7#)63,13241,2.313245,13331,2.66916400,13230,8.332516,13230,8.54079737,13282,3.958165,4.04098992
(7#)127/2,13339,2.408045,13421,2.66915000,13335,8.768441,13335,8.60900658,13387,3.984332,4.04133259
(7#)64,13451,2.365320,13537,2.66911900,13440,8.632976,13440,8.54059921,13492,4.007290,4.04416972
(7#)129/2,13646,2.418129,13649,2.66909000,13545,8.821299,13545,8.74885075,13597,3.987941,4.03513514
(7#)65,13729,2.380300,13751,2.66905500,13650,8.952978,13650,9.31687000,13702,3.991798,4.05084151
(7#)131/2,13807,2.343338,13859,2.66902800,13755,8.371422,13755,8.60655649,13807,3.982027,4.03996949
(11#)6,13943,2.508139,13963,2.66900200,13860,9.554326,13860,9.48919262,13912,3.985947,4.04450413
(7#)133/2,14051,2.389016,14057,2.66898700,13965,8.871930,13965,9.04258698,14017,3.956587,4.04385566
(7#)67,14096,2.408715,14173,2.66895900,14070,8.326095,14070,8.67153022,14122,3.976917,4.04158189
